API Typ,tadir_object,tadir_obj_name,object_type,object_key,software_component,application_component,state,successor_classification,successor_concept_name,successor_tadir_object,successor_tadir_obj_name,successor_object_type,successor_object_name,api_catalog
TIER1,DOMA,TEXT50,DOMA,TEXT50,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,TEXT55,DOMA,TEXT55,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,TEXT56,DOMA,TEXT56,SAP_BASIS,BC-TWB-TST-P-GPA,DEPRECATED,0,
TIER1,DOMA,TEXT60,DOMA,TEXT60,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,TEXT64,DOMA,TEXT64,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,TEXT65,DOMA,TEXT65,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,TEXT7,DOMA,TEXT7,SAP_BASIS,BC-CCM-MON-TUN,DEPRECATED,0,
TIER1,DOMA,TEXT70,DOMA,TEXT70,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,TEXT72,DOMA,TEXT72,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,TEXT8,DOMA,TEXT8,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,TEXT80,DOMA,TEXT80,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,TEXT9,DOMA,TEXT9,SAP_BASIS,BC-BMT-OM,DEPRECATED,0,
TIER1,DOMA,TEXT90,DOMA,TEXT90,SAP_BASIS,BC-MID-ALE,DEPRECATED,0,
TIER1,DTEL,A4C_CP_SERVICE_TYPE,DTEL,A4C_CP_SERVICE_TYPE,SAP_CLOUD,BC-CP-ABA-INT,DEPRECATED,0,
TIER1,DTEL,A4C_CP_SVC_INSTANCE_NAME,DTEL,A4C_CP_SVC_INSTANCE_NAME,SAP_CLOUD,BC-CP-ABA-INT,DEPRECATED,0,
TIER1,DTEL,A4C_CP_SVC_PROPERTY_NAME,DTEL,A4C_CP_SVC_PROPERTY_NAME,SAP_CLOUD,BC-CP-ABA-INT,DEPRECATED,0,
TIER1,DTEL,A4C_CP_SVC_PROPERTY_VALUE,DTEL,A4C_CP_SVC_PROPERTY_VALUE,SAP_CLOUD,BC-CP-ABA-INT,DEPRECATED,0,
TIER1,DTEL,BAPI_RCODE,DTEL,BAPI_RCODE,SAP_BASIS,BC-MID-API,DEPRECATED,0,
TIER1,DTEL,BOOLEAN,DTEL,BOOLEAN,SAP_BASIS,BC-DWB-TOO,DEPRECATED,1,,DTEL,ABAP_BOOLEAN,DTEL,ABAP_BOOLEAN
TIER1,DTEL,BOOLE_D,DTEL,BOOLE_D,SAP_BASIS,BC-SRV-BSF-MSH,DEPRECATED,1,,DTEL,ABAP_BOOLEAN,DTEL,ABAP_BOOLEAN
TIER1,DTEL,CHAR1,DTEL,CHAR1,SAP_BASIS,BC-SRV-BSF-MSH,DEPRECATED,0,
TIER1,DTEL,CHAR10,DTEL,CHAR10,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DTEL,CHAR100,DTEL,CHAR100,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DTEL,CHAR12,DTEL,CHAR12,SAP_BASIS,BC-SRV-COM,DEPRECATED,0,
TIER1,DTEL,CHAR120,DTEL,CHAR120,SAP_BASIS,BC-CCM-MON-TUN,DEPRECATED,0,
TIER1,DTEL,CHAR128,DTEL,CHAR128,SAP_BASIS,BC-CUS-TOL-IMG,DEPRECATED,0,
TIER1,DTEL,CHAR134,DTEL,CHAR134,SAP_BASIS,BC-DOC-HLP,DEPRECATED,0,
TIER1,DTEL,CHAR14,DTEL,CHAR14,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DTEL,CHAR140,DTEL,CHAR140,SAP_BASIS,BC-FES-CTL,DEPRECATED,0,
TIER1,DTEL,CHAR15,DTEL,CHAR15,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DTEL,CHAR16,DTEL,CHAR16,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DTEL,CHAR17,DTEL,CHAR17,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DTEL,CHAR18,DTEL,CHAR18,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DTEL,CHAR2,DTEL,CHAR2,SAP_BASIS,BC-DOC-HLP,DEPRECATED,0,
